num_cities,density,alpha,beta,baseline_cost,solution_cost,improvement_percent,time_taken_sec,errors
100,0.2,1,5,187088165532885.91,24898.05,100.00,33.69,-
100,0.2,2,0.1,491.34,305.18,37.89,3.58,-
100,0.2,2,1,50425.31,50394.02,0.06,4.88,-
100,0.2,2,2,21337285.20,71954.38,99.66,18.23,-
100,0.2,2,5,5986821297049013.00,49392.18,100.00,28.22,-
100,0.2,5,0.1,528.18,326.80,38.13,3.72,-
100,0.2,5,1,125902.02,125870.73,0.02,4.88,-
100,0.2,5,2,133357468.14,185805.29,99.86,25.21,-
100,0.2,5,5,584650517289932160.00,153123.16,100.00,111.26,-
100,0.5,0.1,0.1,266.91,185.18,30.62,4.10,-
100,0.5,0.1,1,1950.28,1936.70,0.70,5.00,-
100,0.5,0.1,2,47037.56,2165.31,95.40,21.98,-
100,0.5,0.1,5,2265723695.51,1442.21,100.00,18.83,-
100,0.5,1,0.1,316.13,217.70,31.13,3.88,-
100,0.5,1,1,18811.32,18797.74,0.07,5.09,-
100,0.5,1,2,4696149.78,21606.32,99.54,22.81,-
100,0.5,1,5,226572361867718.59,14350.56,100.00,21.37,-
100,0.5,2,0.1,333.30,233.24,30.02,4.13,-
100,0.5,2,1,37545.81,37532.23,0.04,4.89,-
100,0.5,2,2,18784368.62,43313.83,99.77,42.05,-
100,0.5,2,5,7250315579764613.00,28703.36,100.00,19.05,-
100,0.5,5,0.1,357.92,246.55,31.11,3.95,-
100,0.5,5,1,93749.29,93735.71,0.01,4.98,-
100,0.5,5,2,117401900.53,106831.18,99.91,23.02,-
100,0.5,5,5,708038630836381056.00,68078.35,100.00,203.28,-
100,1.0,0.1,0.1,201.47,166.37,17.42,4.26,-
100,1.0,0.1,1,1893.63,1890.75,0.15,5.58,-
100,1.0,0.1,2,54123.49,1934.72,96.43,27.69,-
100,1.0,0.1,5,3476513099.40,1309.12,100.00,20.95,-
100,1.0,1,0.1,234.36,198.42,15.33,4.07,-
100,1.0,1,1,18266.19,18266.19,0.00,5.71,-
100,1.0,1,2,5404978.09,19458.37,99.64,40.59,-
100,1.0,1,5,347651302495115.25,13117.03,100.00,34.43,-
100,1.0,2,0.1,245.84,210.30,14.45,4.49,-
100,1.0,2,1,36457.92,36456.25,0.00,5.78,-
100,1.0,2,2,21619689.00,38916.05,99.82,37.79,-
100,1.0,2,5,11124841679841382.00,26263.16,100.00,45.89,-
100,1.0,5,0.1,262.28,224.87,14.26,4.60,-
100,1.0,5,1,91033.12,91033.12,0.00,5.63,-
100,1.0,5,2,135122665.35,95537.81,99.93,30.12,-
100,1.0,5,5,1086410320297003136.00,60435.10,100.00,133.71,-
200,0.1,0.1,0.1,821.78,560.42,31.80,8.25,-
200,0.1,0.1,1,5072.44,5015.99,1.11,9.60,-
200,0.1,0.1,2,82889.28,6234.18,92.48,29.09,-
200,0.1,0.1,5,1775973246.30,4262.81,100.00,30.85,-
200,0.1,1,0.1,982.61,641.63,34.70,9.01,-
200,0.1,1,1,48918.51,48862.06,0.12,10.06,-
200,0.1,1,2,8269062.87,62254.05,99.25,30.01,-
200,0.1,1,5,177597304564950.50,42143.35,100.00,35.42,-
200,0.1,2,0.1,1038.73,703.88,32.24,9.80,-
